"PC1","PC2","PC3","PC4","PC5","PC6","physical","mental","temporal","performance","effort","frustration"
-0.644764099930121,0.998153239139816,0.42701608716154,0.0417895853272778,-0.109359310051322,-0.0549611575054967,3,3,3,2,3,2
0.621700303156958,-1.01167231017517,-0.135855196247867,0.0151140525634405,0.375703382235233,1.43475895272771,2,6,2,4,3,4
1.72799774491612,-1.3629946332326,1.51905263633707,0.166073194008892,0.383892591122635,0.268778372329773,3,4,3,6,4,5
1.10739133225698,1.39828089368934,0.00222603859986729,0.238970499596514,0.0113607145683023,-0.523276266868772,4,4,4,2,5,3
-1.19336181566028,0.693323597361059,1.50218627949338,0.390583386731272,1.34659891547157,0.844784706060929,3,2,2,2,1,4
-2.47109329520069,-0.685806969665909,0.469861117743206,-0.152080240254201,-0.147645542584778,-0.0416547293050681,1,2,1,3,2,1
1.89501573743342,2.17941744888876,-2.17852315753814,-1.79732098563717,-0.101335485167153,-0.870163848785836,6,7,3,1,7,1
2.70279635716189,0.0846663134389236,1.50214455661408,0.635200723161759,-0.13861638338203,-0.213195161175871,4,4,5,5,5,5
-1.19164879784689,0.728855876541159,-0.679735103348955,0.239383555143659,0.256171866384006,0.39683667696765,2,4,2,1,3,2
3.78863334656805,0.744105763804843,1.14658943156546,-0.592359864665549,0.0670293837885005,0.381623297725774,6,6,5,5,5,5
4.05183376680258,-0.183933428426437,-0.241291582844279,-0.458765928082019,0.263025337785236,-0.156590011880929,5,7,4,5,7,5
0.766050945725289,1.10290989424872,-0.276366718005203,-0.30749867239653,0.366152612678329,0.309135425499052,4,5,3,2,4,3
3.76171255059693,-0.158652860719534,1.34804715320099,-0.112736288392416,-0.219983834125579,-0.421474450693379,5,5,5,6,6,5
3.77410867766568,0.751823296562396,0.689938836889375,-0.860725770600145,-0.376287827774134,-0.273957203240139,6,6,5,5,6,4
-3.03037775783131,-0.554264362640617,1.14730697205126,-0.0780496861017812,-0.0623622582763099,0.0629157929955987,1,1,1,3,1,1
1.08033861742898,2.29591547470164,0.104169992359834,-0.575542487416296,-1.17120805875239,-0.916471856383042,5,4,5,2,5,1
1.60902332368325,0.857387715147489,0.414730904100035,0.158835764922831,0.155894083713212,0.490690443051182,4,5,4,3,4,4
0.966750330478786,0.201430483942742,-1.02393867937299,0.132602217825254,-1.36544991515779,1.07236464368416,2,7,4,3,4,2
-0.926323473423837,0.193939121176274,0.173231521735946,0.517779981997822,0.615237139816516,0.16697655615438,2,3,2,2,3,3
1.94168086158144,-0.151301774922411,-0.941332991220412,1.89586631026406,-0.992403334255837,0.180488951273634,1,6,5,3,6,4
0.524440028459181,-1.45829264600337,0.868672492566898,-0.379901521664338,-1.19278565901989,-0.162652381873376,2,4,3,6,4,2
-1.08520242253965,-0.601609423584184,0.983181177324132,-0.299526096848494,-0.255081187964631,0.437309517697884,2,3,2,4,2,2
-1.23493556174555,0.287359584225034,0.0213909100703186,0.179257391655557,0.15726481636366,-0.00428131970001369,2,3,2,2,3,2
-2.51438005909935,-1.12730326198203,1.17098713116248,-0.212206403742302,-0.246552592605124,-0.442772725972731,1,1,1,4,2,1
-3.20900127324527,0.37456789872572,0.117690816510315,0.186389879434511,0.235390237963071,0.485399683520073,1,2,1,1,1,1
4.83302487110072,0.508504122403939,0.535841433476278,-1.60866278215432,-0.457655278517683,-0.482236492757646,7,7,5,6,7,4
1.77128450881478,-0.921498340916476,0.817926622917793,0.226199357496994,0.48279964114298,0.669896368997437,3,5,3,5,4,5
0.857972652130159,-0.219837873119065,0.929898967991796,-1.11477423032328,-0.588417653232941,-0.305972234736626,4,4,3,5,4,2
-2.24918301588807,-1.17314293871612,0.798351259864882,-0.356393642302391,-0.346490988803814,-0.0630206231618789,1,2,1,4,2,1
-1.8376350694866,0.466482977564999,0.174360281415153,-0.229421883094378,-0.315362618979416,0.308783429557112,2,3,2,2,2,1
2.62465275321963,0.172572248672907,0.961759514106212,-0.649227410119446,-0.0243804170506824,-0.118706843133989,5,5,4,5,5,4
-1.52915126237666,0.862139593147037,-0.899401603301718,-0.313482958166365,-0.316393965157759,1.08965352903563,2,5,2,1,2,1
1.68120046378997,1.2590207539065,-0.218569221032103,0.433305851378691,0.369394641822468,0.0277337117964736,4,5,4,2,5,4
-1.29458829357175,0.30712562411716,1.22218521527334,-0.42061851159378,0.246463934237048,-0.00341956461618789,3,2,2,3,2,2
-0.205038025730342,0.572980742254493,-1.42613487801241,-1.20560720828063,-0.497699812099998,1.26112634232897,3,7,2,2,3,1
-0.650602282553892,0.998615134502007,0.478933415904028,-0.545584796083816,0.67738088402048,-1.03304179434245,4,2,2,2,4,2
1.6888799454389,0.805014059093606,-1.22680543623443,1.29206406661642,-1.0487689317057,-0.0517459040839791,2,6,5,2,6,3
1.59449865478088,0.865105247905043,-0.0419196905760541,-0.109530141011765,-0.287423127849422,-0.16489005791473,4,5,4,3,5,3
-0.807480971047846,-0.226050021667138,1.17803948609742,-0.769119152202059,-0.0523199081806761,0.354966644337854,3,3,2,4,2,2
-2.07206975707974,0.532419867964077,-0.721624040777407,0.30029733574729,-0.419216848743025,0.792244299584806,1,4,2,1,2,1
1.91563878902821,-0.118232263398464,-0.448673627346482,0.775139530408714,0.909800757361492,-0.25601709351198,3,5,3,3,6,5
-1.50881909123543,0.340454898354483,-0.114541142050661,0.642453105692143,-0.972854193072087,-0.0615332866398297,1,3,3,2,3,1
-1.24946023064792,0.295077116982587,-0.43525968460577,-0.0891085142790388,-0.286052395198974,-0.659861820665926,2,3,2,2,4,1
0.118227012705519,-0.017234332182618,0.407958824711802,-0.176135046589515,0.862593392546691,1.47835249552516,3,5,2,3,2,4
-2.11932272419209,0.151345938232255,-1.30502678039294,-0.176015151838085,-0.0497698387427764,1.14033336684111,1,5,1,1,2,1
2.5812377081092,0.220153034987579,0.437283031142988,-1.1319372390218,-0.582291136702227,0.0897873838224703,5,6,4,5,5,3
0.428676762407292,0.747116532223804,0.729569278424532,-0.437781520292301,0.252590450767763,0.392340053942908,4,4,3,3,3,3
-2.24918301588807,-1.17314293871612,0.798351259864882,-0.356393642302391,-0.346490988803814,-0.0630206231618789,1,2,1,4,2,1
2.18083219459439,1.14724418677333,0.30477922986286,-0.240600606023065,0.373310475387388,-0.0759750554203674,5,5,4,3,5,4
-0.938851519349459,1.08385616943102,0.731826070172001,-0.0283670990803917,-0.124014421941543,0.429361467606023,3,3,3,2,2,2
3.18267988402306,3.00858667933843,1.31201592488685,0.171487012270921,0.596818388428002,-0.364463064130982,7,4,6,2,5,5
-0.807480971047846,-0.226050021667138,1.17803948609742,-0.769119152202059,-0.0523199081806761,0.354966644337854,3,3,2,4,2,2
1.59449865478088,0.865105247905043,-0.0419196905760541,-0.109530141011765,-0.287423127849422,-0.16489005791473,4,5,4,3,5,3
1.72203128108057,-0.873455659239612,0.345367468697057,-0.843884852816453,0.711629115563238,-0.0996900408830531,4,5,2,5,5,4
1.47506854756181,0.0823982794142141,0.00797769494055185,-0.860312715053,-0.13147667595843,0.646155740596283,4,6,3,4,4,3
-1.30711270185227,-0.114273454533972,0.654691035202456,-0.0952126948003031,-0.0562357417455956,0.458675411554695,2,3,2,3,2,2
-3.19647686496475,0.795966977376853,0.685184996581199,-0.139015937358966,0.538089913945715,0.0233047073491903,2,1,1,1,1,1
-1.08520242253965,-0.601609423584184,0.983181177324132,-0.299526096848494,-0.255081187964631,0.437309517697884,2,3,2,4,2,2
-1.33799970103708,-0.956609716474047,-0.428379996196824,-0.0317754426244429,0.125105100360919,0.404784727059511,1,4,1,3,3,2
-1.52902298116489,0.373062514516239,0.32620089308078,0.109100707247888,0.142609704473439,0.480041305411506,2,3,2,2,2,2
-3.47419831645655,0.420407575459807,0.490326687807912,0.3305771179946,0.33532863416176,0.10564758070922,1,1,1,1,1,1
