target,grouping_type,grouping_desc,class,count,percent
performance,3-class,"(1)/(2,3,4,5,6)/(7)",Low,263,14.01
performance,3-class,"(1)/(2,3,4,5,6)/(7)",Medium,1597,85.08
performance,3-class,"(1)/(2,3,4,5,6)/(7)",High,17,0.91
performance,3-class,"(1,2)/(3)/(4,5,6,7)",Low,842,44.86
performance,3-class,"(1,2)/(3)/(4,5,6,7)",Medium,398,21.2
performance,3-class,"(1,2)/(3)/(4,5,6,7)",High,637,33.94
performance,3-class,"(1,2)/(3,4)/(5,6,7)",Low,842,44.86
performance,3-class,"(1,2)/(3,4)/(5,6,7)",Medium,698,37.19
performance,3-class,"(1,2)/(3,4)/(5,6,7)",High,337,17.95
performance,3-class,"(1,2)/(3,4,5)/(6,7)",Low,842,44.86
performance,3-class,"(1,2)/(3,4,5)/(6,7)",Medium,927,49.39
performance,3-class,"(1,2)/(3,4,5)/(6,7)",High,108,5.75
performance,3-class,"(1,2)/(3,4,5,6)/(7)",Low,842,44.86
performance,3-class,"(1,2)/(3,4,5,6)/(7)",Medium,1018,54.24
performance,3-class,"(1,2)/(3,4,5,6)/(7)",High,17,0.91
performance,3-class,"(1,2,3)/(4)/(5,6,7)",Low,1240,66.06
performance,3-class,"(1,2,3)/(4)/(5,6,7)",Medium,300,15.98
performance,3-class,"(1,2,3)/(4)/(5,6,7)",High,337,17.95
performance,3-class,"(1,2,3)/(4,5)/(6,7)",Low,1240,66.06
performance,3-class,"(1,2,3)/(4,5)/(6,7)",Medium,529,28.18
performance,3-class,"(1,2,3)/(4,5)/(6,7)",High,108,5.75
performance,3-class,"(1,2,3)/(4,5,6)/(7)",Low,1240,66.06
performance,3-class,"(1,2,3)/(4,5,6)/(7)",Medium,620,33.03
performance,3-class,"(1,2,3)/(4,5,6)/(7)",High,17,0.91
performance,3-class,"(1,2,3,4)/(5)/(6,7)",Low,1540,82.05
performance,3-class,"(1,2,3,4)/(5)/(6,7)",Medium,229,12.2
performance,3-class,"(1,2,3,4)/(5)/(6,7)",High,108,5.75
performance,3-class,"(1,2,3,4)/(5,6)/(7)",Low,1540,82.05
performance,3-class,"(1,2,3,4)/(5,6)/(7)",Medium,320,17.05
performance,3-class,"(1,2,3,4)/(5,6)/(7)",High,17,0.91
performance,3-class,"(1,2,3,4,5)/(6)/(7)",Low,1769,94.25
performance,3-class,"(1,2,3,4,5)/(6)/(7)",Medium,91,4.85
performance,3-class,"(1,2,3,4,5)/(6)/(7)",High,17,0.91
performance,2-class,"(1) vs (2,3,4,5,6,7)",Low,263,14.01
performance,2-class,"(1) vs (2,3,4,5,6,7)",High,1614,85.99
performance,2-class,"(1,2) vs (3,4,5,6,7)",Low,842,44.86
performance,2-class,"(1,2) vs (3,4,5,6,7)",High,1035,55.14
performance,2-class,"(1,2,3) vs (4,5,6,7)",Low,1240,66.06
performance,2-class,"(1,2,3) vs (4,5,6,7)",High,637,33.94
performance,2-class,"(1,2,3,4) vs (5,6,7)",Low,1540,82.05
performance,2-class,"(1,2,3,4) vs (5,6,7)",High,337,17.95
